범죄분류,아파트_연립_다세대,단독주택,고속도로,노상,상점,시장노점,숙박업소_목욕탕,유흥접객업소,사무실,공장,공사장_광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,기타
절도,14345,11450,181,45543,33921,4677,6142,15700,3241,1066,1604,1321,1832,603,2610,760,2052,1776,4659,1762,1026,3265,69,18,6,82,27918
장물,36,15,0,203,100,9,8,15,60,87,14,87,22,5,11,0,1,3,20,3,0,0,1,0,0,0,225
손괴,7087,4793,39,23648,1483,914,1501,3981,820,188,274,90,171,38,151,40,153,170,118,171,195,1414,85,0,5,35,10904
살인,228,174,0,145,9,1,27,49,14,5,1,0,3,0,5,0,9,1,0,25,1,17,3,0,0,1,129
강도,106,89,1,221,115,8,79,53,21,1,0,3,4,1,8,0,7,0,4,6,1,7,0,0,0,1,109
방화,352,298,0,237,25,27,46,55,46,16,6,6,4,1,2,3,10,9,2,12,7,29,0,0,0,4,148
성폭력,4127,2790,20,3909,1125,308,3556,4281,659,62,20,17,1132,1541,1271,123,331,585,15,396,86,43,3,17,34,2,5576
폭행,25373,15367,185,60830,4438,1746,2236,22858,3685,715,613,88,1203,591,2170,209,1532,933,106,1683,425,221,64,58,159,16,14411
상해,5242,3652,53,14175,814,459,745,7020,1400,340,268,34,184,64,241,51,429,587,22,415,128,148,25,15,98,7,3690
협박,4462,3401,101,6420,548,156,212,1548,822,69,60,10,43,16,100,10,107,128,28,178,48,50,12,3,24,2,3090
공갈,294,371,2,973,152,55,97,459,390,15,19,0,12,3,20,2,55,81,29,33,7,9,1,4,8,1,2482
약취와 유인,41,26,0,102,3,0,11,8,3,0,0,0,3,0,3,0,5,16,1,3,1,0,1,0,0,0,33
체포와 감금,253,158,6,325,15,12,130,77,88,5,1,2,6,2,100,2,6,9,2,40,10,3,0,0,0,0,339
"폭력행위등(손괴,강요,주거침입등)",173,138,0,122,25,11,54,42,56,16,16,0,0,0,0,2,3,38,2,4,19,12,0,0,0,0,120
"폭력행위등(단체등의구성, 활동)",9,1,0,66,2,3,2,20,24,0,2,0,0,0,0,0,5,5,0,1,1,0,0,0,0,0,28
도박과 복표,403,882,0,92,179,71,119,430,1682,18,0,19,4,1,2,14,57,0,2,1,1,17,0,18,1,0,4073
과실치사상,181,128,2,1263,125,62,44,327,48,29,14,6,115,52,19,113,162,26,1,50,11,32,3,0,2,1,314
업무상 과실치사상,92,44,2,438,105,23,62,82,34,445,533,33,13,3,46,39,64,31,0,700,4,73,280,3,1,0,563
실화,361,331,3,345,63,62,53,113,32,155,49,93,6,0,22,1,13,12,2,7,15,228,44,0,0,6,317
주거 침입,5716,5785,2,599,377,171,597,758,614,154,83,91,26,2,17,15,37,230,11,121,182,52,1,3,0,3,1534
유기,20,21,1,9,2,0,1,1,2,2,0,0,0,0,0,0,1,45,0,17,118,2,0,0,0,0,18
경범죄처벌법,498,261,0,2301,119,23,60,590,2755,0,1,0,63,26,64,2,64,7,2,18,8,6,0,0,0,0,770
마약류관리에관한법률(대마),138,151,1,431,10,3,36,43,31,3,1,1,6,0,78,0,7,0,27,4,0,26,0,2,0,1,566
마약류관리에관한법률(마약),28,812,1,124,16,3,10,18,11,4,0,0,0,1,7,0,0,1,1,49,1,208,1,0,0,1,140
마약류관리에관한법률(향정),680,714,15,1226,77,25,780,164,172,36,2,5,54,4,144,4,19,2,171,149,5,5,1,0,6,0,1829
성매매알선등행위의처벌에관한법률,1414,104,0,220,49,62,778,1836,93,0,0,0,1,0,7,0,3,0,0,0,0,3,0,0,0,0,671
아동·청소년의성보호에관한법률(성매수등),32,11,0,30,4,2,105,12,3,0,1,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,105
아동·청소년의성보호에관한법률(음란물등),79,66,0,1,2,0,16,0,47,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,535
